Urban,PCTGQTRS,HUNVFlag,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT 0 Some college or associate's degree,Total; Estimate; Some college no degree
1,0,0,23.1,35.6
1,0.0051944,0,2.7,23.4
1,0.023716,1,3.8,22.7
1,0.00067,0,3,30.3
1,0.0241754,0,10.1,21
1,0.0111312,0,11.3,30.9
1,0.0016803,0,7.8,30.7
1,0,0,9.3,28
1,0.0170176,0,21.3,29.8
1,0.0002543,1,15.5,20.2
1,0.0023256,0,0,29
1,0.0024261,1,8.4,29.9
1,0.001245,0,11.5,27.4
1,0.0019075,0,2,34.6
1,0.0115482,0,0,39.3
1,0,0,6,24.8
1,0.005199,0,6.7,21.1
1,0.0200698,0,4.1,22.6
1,0.0011033,0,6.1,27.5
1,0.0230924,0,8.7,28.5
1,0.0036255,0,3.7,21.3
1,0.0083799,0,0,24.9
1,0.0034284,0,2.1,24.2
1,0,0,3.9,29.3
1,0.001737,0,11,21.8
1,0.0005065,0,6.9,21.7
1,0.0018031,0,3.7,26.6
1,0.0125035,0,4.7,18.6
1,0.0006171,0,0,15.1
0,0.0228589,0,0,25.1
1,0.4342549,0,16.8,35.3
1,0.0611007,0,4.9,33.9
1,0.0125497,0,2.6,20.2
1,0.0086346,0,15.2,32.2
1,0,0,14.1,26.4
1,0,0,11.1,27.3
1,0.0106178,0,2.8,29.6
1,0.0638265,0,7.2,20.7
1,0.001495,0,4.4,23.1
1,0.0017707,0,12.7,24
1,0.0074101,0,9.9,29.2
1,0.0016434,1,7.4,25
1,0.0034467,0,7.9,17.1
1,0.0032503,1,7.6,24.4
1,0.0285937,0,8.9,24.7
1,0.0400798,0,10.2,28.3
1,0.0113471,0,7.7,18.3
1,0.012696,1,7.2,27.3
1,0.0473477,0,16.9,30.4
1,0.0069742,0,6.5,27.2
1,0.0065384,0,11.3,20.2
1,0.0152574,1,2.6,29.7
1,0.0094239,1,10.4,30.2
1,0.0002444,0,6.6,25.7
1,0.0041505,0,5.4,23.9
1,0.0107999,0,9.7,25.1
1,0.001067,0,5.6,22.1
1,0.0016289,0,5,19.3
1,0,0,11.8,18.9
1,0.0518104,0,15.5,19.6
1,0.0080405,0,13.6,28.6
1,0,0,8.8,20.2
1,0,0,4.1,12.6
1,0.0014881,0,1.6,34
1,0.0001754,0,16,15.8
1,0.009375,0,4.3,20.4
1,0.0382848,0,2.3,22.8
1,0.0042637,0,6.2,19.5
1,0.0018014,0,10.4,28.4
1,0.0061094,0,11.4,28.4
1,0.0237467,0,7.2,21.6
1,0.0004382,1,10.4,12.4
1,0.0003532,0,3.1,15.7
1,0.008898,0,6.4,16.5
1,0.0077493,0,11.6,17.7
1,0.0071386,0,0,16.2
1,0.0060997,0,4.5,17
1,0.0355131,0,3.5,22.7
1,0.0042857,0,4.5,23.2
1,0.0063734,0,10.5,17
1,0.0018727,0,9,21.3
1,0.0317352,1,7.5,17.2
1,0.0015613,0,9.2,15.2
1,0.0052356,0,0,24.4
1,0.001027,0,3.3,22.5
1,0.0033584,1,1.6,27.1
1,0.0053029,0,4.2,18.7
1,0,0,6.6,15.7
1,0,0,11.6,17.7
1,0,0,12.4,21.2
1,0,0,11.8,9.9
1,0.0009513,0,7.7,21.6
0,0.0005232,0,2.3,19.2
1,0.0055964,0,0,18.9
1,0,0,5.4,26.4
1,0.0058714,0,2.4,19.8
1,0,0,0,20.6
1,0,0,6.4,14.4
1,0.0049558,0,8.2,13.1
1,0.000557,1,5.4,18.7
1,0.0013028,0,4.9,22.7
1,0,0,0,13.6
1,0.0024307,0,8.9,14
1,0.0034881,0,11.2,9.9
1,0.0104567,0,3.5,12.7
1,0,0,5.7,14.9
1,0,1,0,23.5
1,0.029436,1,0,23.2
1,0.0032503,0,0,19.9
1,0.0013765,0,5.3,11.9
1,0.309774,0,7.5,11.5
1,0.1023989,0,0,8.5
1,0.0062609,0,0,12.5
1,0.05573,0,19.8,18
1,0,0,2.7,11.7
1,0.002207,0,13.6,13.2
1,0,0,0,14.7
1,0.006525,0,8.2,8.9
1,0.0041601,0,4.8,28.6
1,0.0050595,0,13.6,31.4
1,0.015586,0,3.5,25.3
1,0,0,7.5,26.2
1,0,0,2.1,34
0,0.0332554,0,7.9,16.7
1,0,0,0,16.9
1,0.0149524,0,2.5,18.1
1,0,0,4.6,27.5
1,0,0,8.6,3.6
1,0,0,21.6,6.9
1,0,0,6.9,20.5
1,0.0010213,0,5,26.8
1,0.0017222,0,4.7,10.7
1,0.001277,1,6.1,21.2
1,0,0,6.2,23.7
1,0.0077148,0,2.7,34.3
1,0.0016744,0,3.6,25.4
1,0,0,7.2,22.1
1,0.002265,0,10.2,27.9
1,0.003489,0,1.8,26.9
